ID,GT,First Correct,Final Correct,Changed After?,Post-Arrival %
test/precalculus/807.json,"\left( 3, \frac{\pi}{2} \right)",53,Yes,No,17%
test/intermediate_algebra/1994.json,p - q,Never,No,—,—
test/algebra/2584.json,\frac{14}{3},Never,No,—,—
test/number_theory/572.json,9,54,Yes,No,16%
test/algebra/1349.json,\text{Evelyn},52,Yes,No,19%
test/prealgebra/1622.json,42,64,Yes,No,0%
test/number_theory/515.json,27,51,Yes,No,20%
test/precalculus/927.json,90^\circ,64,Yes,No,0%
test/algebra/2036.json,3\sqrt{13},Never,No,—,—
test/prealgebra/1139.json,4,Never,No,—,—
test/number_theory/1032.json,2220,Never,No,—,—
test/intermediate_algebra/1197.json,\frac{3}{56},Never,No,—,—
test/number_theory/737.json,284,Never,No,—,—
test/geometry/248.json,5,63,Yes,No,2%
test/precalculus/1303.json,\sqrt{51},Never,No,—,—
test/precalculus/990.json,6 - 5i,Never,No,—,—
test/intermediate_algebra/134.json,-50,52,Yes,No,19%
test/precalculus/1199.json,\pi,52,Yes,No,19%
test/geometry/434.json,28,Never,No,—,—
test/intermediate_algebra/1000.json,3,Never,No,—,—
test/algebra/1098.json,6+9i,Never,No,—,—
test/intermediate_algebra/607.json,13535,Never,No,—,—
test/algebra/1837.json,5,Never,No,—,—
test/algebra/2193.json,x=5,Never,No,—,—
test/algebra/2427.json,10,Never,No,—,—
test/intermediate_algebra/1388.json,"1,-2",Never,No,—,—
test/counting_and_probability/525.json,144,Never,No,—,—
test/prealgebra/1840.json,78,48,Yes,No,25%
test/precalculus/779.json,-2 + 7i,56,Yes,No,12%
test/counting_and_probability/666.json,225,Never,No,—,—
test/number_theory/864.json,52_8,48,Yes,No,25%
test/prealgebra/1302.json,11\sqrt2,Never,No,—,—
test/counting_and_probability/134.json,720,Never,No,—,—
test/algebra/1072.json,\frac{243}{625},Never,No,—,—
test/counting_and_probability/119.json,-125,Never,No,—,—
test/number_theory/627.json,3,Never,No,—,—
test/intermediate_algebra/428.json,"3, 5, 7",Never,No,—,—
test/geometry/967.json,72,Never,No,—,—
test/algebra/24.json,2000,56,Yes,No,12%
test/number_theory/45.json,23,Never,No,—,—
test/prealgebra/930.json,12,51,Yes,No,20%
test/geometry/627.json,17,Never,No,—,—
test/algebra/2214.json,4,51,Yes,No,20%
test/intermediate_algebra/1454.json,70 \sqrt{2},Never,No,—,—
test/prealgebra/1558.json,1.25,Never,No,—,—
test/geometry/178.json,2,51,Yes,No,20%
test/precalculus/285.json,6,55,Yes,No,14%
test/algebra/305.json,5,57,Yes,No,11%
test/algebra/1265.json,\frac{3}{2},Never,No,—,—
test/prealgebra/1388.json,83,Never,No,—,—
test/number_theory/1055.json,203,Never,No,—,—
test/intermediate_algebra/1217.json,x^5 - x^4 + x^3 - x^2 + x - 1,59,Yes,No,8%
test/prealgebra/951.json,12,Never,No,—,—
test/precalculus/1105.json,-\frac{\pi}{6},52,Yes,No,19%
test/prealgebra/572.json,0.15,24,Yes,Yes,62%
test/algebra/187.json,3,Never,No,—,—
test/algebra/769.json,11,Never,No,—,—
test/intermediate_algebra/1168.json,16,Never,No,—,—
